Date,Open,High,Low,Close,Adj Close,Volume
2013-03-12,12879.90039,12904.7002,12853.90039,12878.59961,12878.59961,211006000
2013-03-13,12873.5,12878.59961,12725.79981,12744.09961,12744.09961,169066900
2013-03-14,12751.59961,12816.79981,12736.09961,12799.90039,12799.90039,201652800
2013-03-15,12795.2002,12866,12790,12830,12830,344798800
2013-03-18,12788.90039,12830,12759.09961,12781.79981,12781.79981,196871800
2013-03-19,12780.79981,12826.29981,12752.09961,12773.90039,12773.90039,174528800
2013-03-20,12816.29981,12828.59961,12776,12826.59961,12826.59961,190046000
2013-03-21,12826.5,12831.2002,12747.5,12747.90039,12747.90039,174729900
2013-03-22,12751.2002,12818.40039,12745.40039,12757.40039,12757.40039,139537300
2013-03-25,12783.7002,12788.40039,12668.59961,12680.7002,12680.7002,185892400
2013-03-26,12686.7002,12709.79981,12651.29981,12706.40039,12706.40039,137280500
2013-03-27,12673.59961,12712.40039,12622.5,12699.7002,12699.7002,148622900
2013-03-28,12661.29981,12764.90039,12647.2002,12749.90039,12749.90039,169490200
2013-04-01,12751.59961,12751.59961,12685.5,12695.09961,12695.09961,101529800
2013-04-02,12680,12718.29981,12672.09961,12682.09961,12682.09961,150446000
2013-04-03,12678.90039,12688.59961,12390.79981,12422.09961,12422.09961,225505300
2013-04-04,12404.79981,12422.09961,12338.29981,12363.09961,12363.09961,179001400
2013-04-05,12293.7002,12363,12244.2002,12331.90039,12331.90039,186500800
2013-04-08,12325.09961,12352,12290.29981,12344.59961,12344.59961,131839800
2013-04-09,12369.79981,12498,12344.79981,12484.09961,12484.09961,170729600
2013-04-10,12503.09961,12555.7002,12485.7002,12534.90039,12534.90039,195269900
2013-04-11,12523.40039,12534.90039,12458.59961,12481.40039,12481.40039,139521300
2013-04-12,12404.7002,12481.40039,12300,12337.59961,12337.59961,177977300
2013-04-15,12184.09961,12335.90039,11998,12004.90039,12004.90039,302809200
2013-04-16,12061.2002,12124.79981,12002.5,12119.90039,12119.90039,181110900
2013-04-17,12086,12116.09961,11916.59961,11947.29981,11947.29981,230908000
2013-04-18,12024.2002,12036.5,11918.90039,11996.29981,11996.29981,194536900
2013-04-19,11987.40039,12067.09961,11987.2002,12065.59961,12065.59961,156909300
2013-04-22,12117.79981,12122.90039,12026.90039,12090.7002,12090.7002,131464000
2013-04-23,12097.5,12127.09961,12031.59961,12090.90039,12090.90039,97387700
2013-04-24,12127.7002,12271.29981,12090.90039,12270.40039,12270.40039,182003600
2013-04-25,12308.59961,12370.7002,12270.40039,12329.5,12329.5,222015900
2013-04-26,12306.09961,12329.5,12181.2002,12220.2002,12220.2002,148578300
2013-04-29,12283.29981,12322.90039,12220.2002,12312.7002,12312.7002,123655900
2013-04-30,12310.7002,12460.5,12244.2002,12456.5,12456.5,215982800
2013-05-01,12408,12454.90039,12285.09961,12321.29981,12321.29981,209323700
2013-05-02,12326.40039,12415.79981,12276,12379.59961,12379.59961,177845700
2013-05-03,12459.90039,12533.79981,12381.29981,12438,12438,158236800
2013-05-06,12480.2002,12505.40039,12440.79981,12453.90039,12453.90039,1430000
2013-05-07,12443,12489.79981,12416.29981,12464.09961,12464.09961,1862400
2013-05-08,12480.09961,12598.40039,12464.09961,12585,12585,1925000
2013-05-09,12584.7002,12601.09961,12530,12543.90039,12543.90039,2089600
2013-05-10,12517.2002,12589.09961,12511.90039,12589.09961,12589.09961,1708200
2013-05-13,12573,12586.29981,12479.09961,12529.5,12529.5,1615600
2013-05-14,12529.2002,12600.7002,12529.2002,12577,12577,1700800
2013-05-15,12526.09961,12575,12439.09961,12473.7002,12473.7002,1649600
2013-05-16,12473.40039,12563,12463.40039,12507.59961,12507.59961,1626400
2013-05-17,12487.29981,12636.29981,12487.29981,12613,12613,1713800
2013-05-21,12669.5,12806.5,12613,12742.40039,12742.40039,2420000
2013-05-22,12801.5,12889.29981,12735.59961,12752.5,12752.5,2195000
2013-05-23,12648.79981,12748.59961,12598.90039,12658.09961,12658.09961,1593000
2013-05-24,12617.2002,12670.7002,12617.2002,12667.2002,12667.2002,1396600
2013-05-27,12688.59961,12703.09961,12662.79981,12696.40039,12696.40039,547000
2013-05-28,12755.59961,12798.5,12704.7002,12750.5,12750.5,2046600
2013-05-29,12677.40039,12750.5,12658.59961,12732.59961,12732.59961,1763200
2013-05-30,12745.2002,12767.5,12725.90039,12746.5,12746.5,2034200
2013-05-31,12691.40039,12745.7002,12620.09961,12650.40039,12650.40039,2957600
2013-06-03,12661.2002,12681.2002,12570.90039,12609.79981,12609.79981,1688400
2013-06-04,12600.5,12636.40039,12568.90039,12594,12594,1421000
2013-06-05,12541,12588.59961,12422.40039,12443.7002,12443.7002,2095000
2013-06-06,12406.79981,12453.79981,12327.7002,12409.29981,12409.29981,1806200
2013-06-07,12388.5,12413,12310.29981,12373.29981,12373.29981,1588400
2013-06-10,12375.59961,12400.7002,12328.5,12382.7002,12382.7002,1227000
2013-06-11,12301,12375.79981,12217.7002,12223.59961,12223.59961,1728000
2013-06-12,12246.09961,12246.09961,12092.5,12109.90039,12109.90039,1800000
2013-06-13,12064.40039,12291.2002,12032.40039,12277.09961,12277.09961,1684000
2013-06-14,12271,12298.29981,12178.2002,12187.40039,12187.40039,1725200
2013-06-17,12249.29981,12325.79981,12189.79981,12288.90039,12288.90039,1432800
2013-06-18,12299.2002,12389.09961,12288.29981,12367.5,12367.5,1638200
2013-06-19,12347.7002,12365.5,12237.7002,12268.29981,12268.29981,1759800
2013-06-20,12100.09961,12268.29981,11940.5,11968.59961,11968.59961,2973200
2013-06-21,12019.09961,12067.5,11935.7002,11995.7002,11995.7002,3785200
2013-06-24,11909,11994.7002,11759,11836.90039,11836.90039,1811200
2013-06-25,11893.7002,12007.7002,11838.5,12005.40039,12005.40039,1821400
2013-06-26,11990.5,12005.40039,11934.7002,11951.90039,11951.90039,1896000
2013-06-27,12003.90039,12053.59961,11951.90039,12005.79981,12005.79981,1993400
2013-06-28,11995.90039,12181,11992.90039,12129.09961,12129.09961,2090800
2013-07-02,12178,12217.40039,12113.79981,12178.40039,12178.40039,1824600
2013-07-03,12175.5,12179.09961,12055.59961,12145.7002,12145.7002,1293600
2013-07-04,12174.90039,12217.2002,12138.40039,12166.7002,12166.7002,415800
2013-07-05,12160.2002,12170.90039,12073.59961,12134.90039,12134.90039,144084300
2013-07-08,12188.09961,12219.79981,12134.90039,12208.90039,12208.90039,1392800
2013-07-09,12247,12298.7002,12203.5,12297.09961,12297.09961,1429600
2013-07-10,12311.59961,12315.5,12250.09961,12306.90039,12306.90039,1469400
2013-07-11,12420.09961,12496.29981,12306.90039,12493.29981,12493.29981,2251000
2013-07-12,12516.29981,12519.7002,12436.79981,12462.2002,12462.2002,1238800
2013-07-15,12515.90039,12569.90039,12462.2002,12528.29981,12528.29981,1377800
2013-07-16,12569,12569,12490.59961,12516.90039,12516.90039,1466400
2013-07-17,12536.29981,12598,12519,12568.79981,12568.79981,1627800
2013-07-18,12593.79981,12680.2002,12568.29981,12628.79981,12628.79981,1695200
2013-07-19,12628.29981,12693.90039,12625,12685.09961,12685.09961,1666200
2013-07-22,12685.09961,12761.40039,12685.09961,12758.40039,12758.40039,1581400
2013-07-23,12759.09961,12772.09961,12710.40039,12745.40039,12745.40039,1679600
2013-07-24,12745.40039,12766.90039,12632.7002,12672.29981,12672.29981,1833400
2013-07-25,12672.40039,12705,12637.29981,12669.09961,12669.09961,1665400
2013-07-26,12666.90039,12676.79981,12614.59961,12647.90039,12647.90039,1299400
2013-07-29,12647.90039,12688.40039,12618,12669,12669,1153400
2013-07-30,12669,12669,12555.79981,12581.79981,12581.79981,176272400
2013-07-31,12581.79981,12631.7002,12486.59961,12486.59961,12486.59961,203824200
2013-08-01,12486.59961,12623.40039,12486.59961,12594,12594,1657200
2013-08-02,12594,12627.59961,12579,12603.29981,12603.29981,124497400
2013-08-06,12603.29981,12603.29981,12419,12469.29981,12469.29981,173302700
2013-08-07,12469.29981,12469.29981,12400.09961,12412.7002,12412.7002,149940700
2013-08-08,12412.7002,12564.09961,12412.7002,12552.90039,12552.90039,174198900
2013-08-09,12552.90039,12557.29981,12502.2002,12542.09961,12542.09961,154693700
2013-08-12,12542.2002,12594.29981,12542.2002,12594.29981,12594.29981,155373100
2013-08-13,12594.29981,12655.79981,12594.29981,12642.2002,12642.2002,158472400
2013-08-14,12642.2002,12664.2002,12614.40039,12639.29981,12639.29981,195460500
2013-08-15,12639,12704.5,12562,12704.5,12704.5,212846300
2013-08-16,12704.5,12800,12704.5,12736.90039,12736.90039,152862300
2013-08-19,12735.5,12735.5,12578.79981,12588,12588,127044300
2013-08-20,12588,12707.5,12573.5,12670.09961,12670.09961,143285800
2013-08-21,12670.09961,12670.09961,12542.79981,12573.09961,12573.09961,159390300
2013-08-22,12573.09961,12700.2002,12573.09961,12674.40039,12674.40039,147391600
2013-08-23,12674.29981,12776.09961,12674.29981,12762.29981,12762.29981,1314000
2013-08-26,12762.29981,12812.59961,12751.90039,12760.29981,12760.29981,127814600
2013-08-27,12760.29981,12760.29981,12567.2002,12591.2002,12591.2002,1686800
2013-08-28,12591.2002,12677.5,12582.59961,12607.2002,12607.2002,150204900
2013-08-29,12607.2002,12742.7002,12607.2002,12704.7002,12704.7002,1538000
2013-08-30,12704.59961,12746.5,12653,12653.90039,12653.90039,1340400
2013-09-03,12654.29981,12828.09961,12654.29981,12740.5,12740.5,1332400
2013-09-04,12740.5,12758.90039,12692.09961,12757.79981,12757.79981,124533100
2013-09-05,12757.79981,12851.7002,12757.79981,12845.09961,12845.09961,161151900
2013-09-06,12845.09961,12888.7002,12796.7002,12820.90039,12820.90039,1386000
2013-09-09,12820.90039,12861.40039,12820.90039,12854.59961,12854.59961,116086200
2013-09-10,12854.59961,12854.59961,12793.7002,12824.5,12824.5,1529800
2013-09-11,12824.5,12840.40039,12764.5,12825.40039,12825.40039,139019400
2013-09-12,12825.40039,12825.40039,12693.90039,12701,12701,144151300
2013-09-13,12701.09961,12761.09961,12701.09961,12723.40039,12723.40039,1340600
2013-09-16,12723.40039,12847.79981,12723.40039,12816.90039,12816.90039,1906200
2013-09-17,12816.90039,12847.2002,12812.2002,12834.09961,12834.09961,128785200
2013-09-18,12834.09961,12958.90039,12794.90039,12931.40039,12931.40039,218093300
2013-09-19,12931.40039,12964.90039,12892.79981,12926.79981,12926.79981,164904300
2013-09-20,12926.7002,12942.7002,12806.5,12806.5,12806.5,458819700
2013-09-23,12806.5,12828.40039,12798.29981,12811.2002,12811.2002,151447800
2013-09-24,12809.59961,12878.7002,12784.09961,12848.90039,12848.90039,149410500
2013-09-25,12848.90039,12913.59961,12832.5,12836.7002,12836.7002,160862300
2013-09-26,12836.7002,12905.09961,12836.7002,12841.59961,12841.59961,128192200
2013-09-27,12841.59961,12865.90039,12818.09961,12844.09961,12844.09961,130691300
2013-09-30,12843.2002,12858.59961,12734.7002,12787.2002,12787.2002,172227500
2013-10-01,12787.2002,12866.90039,12753.40039,12847.40039,12847.40039,166036300
2013-10-02,12847.40039,12853.29981,12790.09961,12839,12839,149800900
2013-10-03,12839,12844.90039,12700.40039,12735.09961,12735.09961,137555300
2013-10-04,12735.09961,12787.09961,12730,12758.7002,12758.7002,129490600
2013-10-07,12758.7002,12814.7002,12704.59961,12788.29981,12788.29981,123590300
2013-10-08,12788.29981,12824.2002,12682.90039,12692.40039,12692.40039,140463900
2013-10-09,12692.40039,12763.5,12678,12730.29981,12730.29981,151681000
2013-10-10,12730.29981,12934.59961,12730.29981,12894.40039,12894.40039,163858200
2013-10-11,12894.40039,12924.90039,12874.09961,12892.09961,12892.09961,115807100
2013-10-15,12892.09961,12934.5,12839.29981,12931.5,12931.5,128012800
2013-10-16,12931.5,12957.2002,12912.2002,12957.2002,12957.2002,119941300
2013-10-17,12956.90039,13042.09961,12951.29981,13036.40039,13036.40039,148061500
2013-10-18,13035.90039,13156.79981,13035.90039,13136.09961,13136.09961,155385800
2013-10-21,13136.09961,13190.90039,13136.09961,13186.5,13186.5,141919000
2013-10-22,13186.5,13291.2002,13186.5,13248.09961,13248.09961,203811000
2013-10-23,13248.09961,13308.2002,13226.2002,13243.29981,13243.29981,195689100
2013-10-24,13243.29981,13329.29981,13243.29981,13324.79981,13324.79981,206167100
2013-10-25,13324.79981,13402.40039,13315.79981,13399.40039,13399.40039,146249700
2013-10-28,13399.40039,13416.2002,13366.29981,13371.79981,13371.79981,135952600
2013-10-29,13371.79981,13443.29981,13371.79981,13440.59961,13440.59961,149841200
2013-10-30,13440.59961,13471.09961,13365,13455.29981,13455.29981,173296900
2013-10-31,13454.2002,13463.7002,13361.29981,13361.29981,13361.29981,213910000
2013-11-01,13362.90039,13402.5,13326.2002,13337.5,13337.5,176205600
2013-11-04,13337.5,13374,13309.59961,13361.79981,13361.79981,142472000
2013-11-05,13361.7002,13364,13305.2002,13361.7002,13361.7002,163246500
2013-11-06,13361.7002,13412.29981,13354.29981,13380.40039,13380.40039,154878200
2013-11-07,13380.40039,13394.2002,13285.2002,13294.2002,13294.2002,1841000
2013-11-08,13294.2002,13394.29981,13291.40039,13378.29981,13378.29981,179029500
2013-11-11,13378.29981,13393.59961,13358.40039,13358.40039,13358.40039,106102900
2013-11-12,13358.40039,13378.5,13324.7002,13326,13326,155088500
2013-11-13,13325.90039,13379.29981,13289.79981,13370.7002,13370.7002,174996700
2013-11-14,13370.7002,13460.79981,13370.7002,13431.40039,13431.40039,172624100
2013-11-15,13431.40039,13490.2002,13431.40039,13482.59961,13482.59961,150691000
2013-11-18,13482.59961,13512.5,13441.40039,13458.09961,13458.09961,141548500
2013-11-19,13458.09961,13497.5,13442.5,13442.79981,13442.79981,1384600
2013-11-20,13442.79981,13460,13387.29981,13430,13430,169460800
2013-11-21,13430.09961,13505.40039,13430.09961,13475.29981,13475.29981,178716100
2013-11-22,13475.29981,13517,13469.2002,13478.29981,13478.29981,1441800
2013-11-25,13478.40039,13507.29981,13460.90039,13472.2002,13472.2002,179814400
2013-11-26,13472.09961,13472.09961,13348.79981,13349.79981,13349.79981,206492000
2013-11-27,13349.59961,13389.09961,13349.59961,13362.09961,13362.09961,133606700
2013-11-28,13362.09961,13400.79981,13362.09961,13370.79981,13370.79981,516200
2013-11-29,13371.79981,13496.7002,13371.79981,13395.40039,13395.40039,108240000
2013-12-02,13395.40039,13459,13389.5,13419.59961,13419.59961,162083300
2013-12-03,13419.5,13419.5,13279.09961,13319.90039,13319.90039,178375500
2013-12-04,13319.90039,13319.90039,13234.5,13304.90039,13304.90039,182430600
2013-12-05,13304.90039,13304.90039,13200.40039,13200.40039,13200.40039,223232500
2013-12-06,13200.59961,13313.59961,13200.59961,13280.7002,13280.7002,131031600
2013-12-09,13280.7002,13352,13280.7002,13312.79981,13312.79981,163559800
2013-12-10,13312.79981,13360.79981,13312.79981,13324,13324,166947200
2013-12-11,13324.09961,13324.09961,13133.40039,13133.40039,13133.40039,1608400
2013-12-12,13133.40039,13143.79981,13059.7002,13114.40039,13114.40039,167153200
2013-12-13,13114.40039,13144.59961,13098,13125.7002,13125.7002,137588700
2013-12-16,13125.7002,13226.40039,13125.7002,13184.40039,13184.40039,148006300
2013-12-17,13184.40039,13224.79981,13170,13180.2002,13180.2002,153833400
2013-12-18,13180.2002,13358.09961,13180.2002,13334.7002,13334.7002,184611400
2013-12-19,13334.7002,13396.59961,13322.90039,13392.2002,13392.2002,162247600
2013-12-20,13392.2002,13504.29981,13392.2002,13399.59961,13399.59961,337623400
2013-12-23,13399.90039,13463.5,13399.90039,13447.7002,13447.7002,99247600
2013-12-24,13447.7002,13531.40039,13447.7002,13518,13518,51761600
2013-12-27,13517.90039,13604.29981,13517.90039,13588,13588,82102100
2013-12-30,13587.59961,13597.5,13572.29981,13581.40039,13581.40039,77787400
2013-12-31,13581.5,13644.29981,13580.90039,13621.59961,13621.59961,75504900
2014-01-02,13621.40039,13621.40039,13528.29981,13594.2002,13594.2002,112481400
2014-01-03,13594.2002,13594.2002,13521.79981,13548.90039,13548.90039,102227000
2014-01-06,13548.90039,13560.59961,13473.2002,13495.5,13495.5,129263400
2014-01-07,13495.09961,13617.09961,13495.09961,13596.90039,13596.90039,154228700
2014-01-08,13596.90039,13639.2002,13586.79981,13614.59961,13614.59961,164831900
2014-01-09,13614.7002,13644.2002,13585,13629.40039,13629.40039,170185700
2014-01-10,13629.7002,13750.7002,13629.7002,13747.5,13747.5,182515800
2014-01-13,13747.5,13771.09961,13658,13681.5,13681.5,247669900
2014-01-14,13681.5,13747,13681.5,13692.40039,13692.40039,206284500
2014-01-15,13692.40039,13785,13692.40039,13772.59961,13772.59961,191848200
2014-01-16,13772.79981,13831.59961,13741.7002,13831.59961,13831.59961,225592300
2014-01-17,13831.59961,13910.40039,13829.2002,13888.2002,13888.2002,214753400
2014-01-20,13888.2002,13990.29981,13888.2002,13990.29981,13990.29981,103998900
2014-01-21,13990.2002,13999.59961,13948.29981,13951.79981,13951.79981,213020600
2014-01-22,13951.79981,13999.59961,13933.59961,13988.2002,13988.2002,250149100
2014-01-23,13988.2002,14002.40039,13932.29981,13933,13933,192452500
2014-01-24,13933,13933,13698.29981,13717.79981,13717.79981,208906000
2014-01-27,13717.79981,13717.79981,13520.5,13582.29981,13582.29981,179324200
2014-01-28,13583,13706.5,13583,13687.7002,13687.7002,174773700
2014-01-29,13687.7002,13687.7002,13587.29981,13643.2002,13643.2002,186217300
2014-01-30,13643.2002,13750.29981,13634.09961,13735.29981,13735.29981,166745000
2014-01-31,13735.29981,13735.29981,13598,13694.90039,13694.90039,181443300
2014-02-03,13694.90039,13694.90039,13450.29981,13486.2002,13486.2002,180781600
2014-02-04,13486.2002,13506.90039,13463.40039,13504.5,13504.5,184282800
2014-02-05,13504.5,13569.79981,13455.79981,13559.7002,13559.7002,201964600
2014-02-06,13560.29981,13732.7002,13560.29981,13713.40039,13713.40039,190312000
2014-02-07,13717.59961,13793.5,13698.40039,13786.5,13786.5,171761900
2014-02-10,13786.5,13839.5,13780.09961,13794.2002,13794.2002,149925000
2014-02-11,13794.40039,13926,13794.40039,13881,13881,203680800
2014-02-12,13881,13947.29981,13881,13900.5,13900.5,201666100
2014-02-13,13900.5,14001.7002,13839,14001.7002,14001.7002,258103000
2014-02-14,14001.7002,14071.5,13998.2002,14054.79981,14054.79981,189410300
2014-02-18,14054.79981,14109.79981,14054.79981,14077.5,14077.5,186745100
2014-02-19,14077.5,14174.29981,14077.5,14119.7002,14119.7002,218225600
2014-02-20,14119.7002,14222.59961,14112,14210.40039,14210.40039,207862400
2014-02-21,14212.09961,14253.2002,14205.7002,14205.7002,14205.7002,184286100
2014-02-24,14205.7002,14278.59961,14205.7002,14227.09961,14227.09961,178503900
2014-02-25,14227.09961,14232.90039,14179.29981,14189,14189,171866800
